route_short_name,delay_p000,delay_p010,delay_p025,delay_p050,delay_p075,delay_p090,delay_p100,end_delay_p000,end_delay_p010,end_delay_p025,end_delay_p050,end_delay_p075,end_delay_p090,end_delay_p100,num_delays,num_end_delays,route_id,route_long_name,num_stop_times,num_trips
779,-325.0,-79.39999999999999,27.0,108.0,222.0,339.0,580.0,-325.0,-184.59999999999997,-82.0,23.5,149.25,260.29999999999995,405.0,757,108,route_176,Devonport Wharf To Cheltenham And Return,2340,120
802X,-1041.0,-659.4,-471.0,-209.0,112.0,370.79999999999995,1463.0,-1040.0,-662.0999999999999,-377.75,82.0,525.0,678.1000000000013,1463.0,737,48,route_177,Mayoral Dr To Bayswater Express,1368,54
803,-712.0,-143.69999999999993,39.0,141.0,270.0,426.0,1553.0,-620.0,-377.0,-232.0,-63.0,89.0,322.4000000000002,1150.0,5134,312,route_178,Takapuna To Bayswater Wharf,10918,424
804,-548.0,-74.80000000000001,35.0,106.0,215.0,367.8000000000002,952.0,-433.0,-267.9,-166.0,-48.5,81.75,271.4000000000002,952.0,2753,104,route_179,Bayswater Wharf To Takapuna Via Westlake,5664,116
813,-1770.0,-186.0,-3.0,116.0,246.0,406.1999999999998,1779.0,-1716.0,-313.29999999999995,-186.75,-8.5,169.5,347.30000000000007,1555.0,7579,658,route_180,Takapuna To Devonport Via Narrow Neck (N),18300,732
815,-311.0,-38.0,48.0,118.0,226.5,349.8,494.0,-311.0,-235.3,-136.5,-43.5,21.75,128.0000000000001,321.0,183,22,route_181,Westwell Rd To Devonport Via Ngataringa Rd,420,24
820,-534.0,-383.8,-260.5,-42.0,90.5,311.0000000000002,1060.0,-511.0,-359.4,-208.5,-97.5,78.0,397.9000000000001,703.0,219,28,route_182,Takapuna To Mayoral Dr,360,36
822,-721.0,-204.0,-45.5,67.0,227.0,415.0,1433.0,-721.0,-482.3,-315.75,-161.0,65.25,319.79999999999995,992.0,931,52,route_183,Castor Bay To Mayoral Dr,1560,66
834,-295.0,-42.9,20.25,84.0,141.5,161.3,178.0,-295.0,-274.4,-243.5,-192.0,-136.0,-102.39999999999999,-80.0,32,3,route_184,Browns Bay To Mayoral Dr Via Crown Hill,270,6
837,-76.0,55.0,110.0,176.5,243.25,320.0,350.0,-76.0,-35.6,25.0,55.0,110.0,171.8,213.0,86,5,route_185,Torbay To Mayoral Dr,426,6
